customer_id,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment
1000,365,3,1289.07,2,2,2,6,At Risk
1001,1,5,3094.96,4,3,4,11,Loyal Customers
1002,410,1,107.82,2,1,1,4,At Risk
1003,1,7,3697.59,4,5,5,14,Champions
1004,1,5,2342.58,4,3,4,11,Loyal Customers
1005,245,5,2287.01,3,3,4,10,Loyal Customers
1006,140,3,3224.5699999999997,3,2,5,10,Loyal Customers
1007,314,1,1014.56,2,1,2,5,At Risk
1008,1,4,2157.8199999999997,4,2,4,10,Loyal Customers
1009,1,6,1910.0300000000002,4,4,3,11,Loyal Customers
1010,166,5,4215.35,3,3,5,11,Loyal Customers
1011,216,4,1252.65,3,2,2,7,Potential Loyalists
1013,608,3,611.26,1,2,1,4,At Risk
1014,1,9,2251.71,4,5,4,13,Champions
1015,1,3,421.34000000000003,4,2,1,7,Potential Loyalists
1016,474,6,2596.87,1,4,4,9,Potential Loyalists
1017,1,3,1449.92,4,2,2,8,Potential Loyalists
1018,571,2,473.45000000000005,1,1,1,3,Churned
1019,362,3,598.3800000000001,2,2,1,5,At Risk
1020,1,5,2556.42,4,3,4,11,Loyal Customers
1021,376,3,4020.67,2,2,5,9,Potential Loyalists
1022,430,3,2362.4700000000003,2,2,4,8,Potential Loyalists
1023,484,2,258.28999999999996,1,1,1,3,Churned
1024,559,2,2578.23,1,1,4,6,At Risk
1025,1,7,2232.91,4,5,4,13,Champions
1026,1,5,1671.79,4,3,3,10,Loyal Customers
1027,1,2,433.57,4,1,1,6,At Risk
1028,90,5,4012.0599999999995,4,3,5,12,Loyal Customers
1029,717,1,512.02,1,1,1,3,Churned
1030,102,8,3768.65,3,5,5,13,Champions
1031,418,3,1624.7,2,2,3,7,Potential Loyalists
1032,371,3,1102.65,2,2,2,6,At Risk
1033,572,2,694.5999999999999,1,1,1,3,Churned
1034,185,3,915.08,3,2,2,7,Potential Loyalists
1035,672,4,1830.1,1,2,3,6,At Risk
1036,491,2,363.86,1,1,1,3,Churned
1037,91,4,2113.98,4,2,3,9,Potential Loyalists
1038,552,6,3445.79,1,4,5,10,Loyal Customers
1039,406,6,1622.1100000000001,2,4,3,9,Potential Loyalists
1040,635,2,279.19,1,1,1,3,Churned
1042,246,5,3308.74,3,3,5,11,Loyal Customers
1043,1,6,2531.25,4,4,4,12,Loyal Customers
1044,372,2,834.4,2,1,1,4,At Risk
1045,468,4,1719.5,1,2,3,6,At Risk
1046,1,6,2834.24,4,4,4,12,Loyal Customers
1047,1,4,841.9300000000001,4,2,1,7,Potential Loyalists
1048,1,4,2197.9799999999996,4,2,4,10,Loyal Customers
1049,315,5,2503.84,2,3,4,9,Potential Loyalists
1050,1,4,2226.61,4,2,4,10,Loyal Customers
1051,289,2,345.27,2,1,1,4,At Risk
1052,1,6,1979.61,4,4,3,11,Loyal Customers
1053,570,4,2210.51,1,2,4,7,Potential Loyalists
1054,680,1,798.82,1,1,1,3,Churned
1055,369,4,1276.39,2,2,2,6,At Risk
1056,239,4,4697.62,3,2,5,10,Loyal Customers
1057,425,3,912.01,2,2,2,6,At Risk
1058,565,3,1283.49,1,2,2,5,At Risk
1059,340,1,283.01,2,1,1,4,At Risk
1060,80,3,679.74,4,2,1,7,Potential Loyalists
1061,141,3,1086.76,3,2,2,7,Potential Loyalists
1062,458,5,2635.8,1,3,4,8,Potential Loyalists
1063,475,3,1962.9799999999998,1,2,3,6,At Risk
1064,1,4,2496.1,4,2,4,10,Loyal Customers
1065,680,1,75.69,1,1,1,3,Churned
1066,3,7,2090.24,4,5,3,12,Loyal Customers
1067,1,6,2752.41,4,4,4,12,Loyal Customers
1068,1,8,4166.21,4,5,5,14,Champions
1069,1,7,4150.860000000001,4,5,5,14,Champions
1070,152,1,1004.08,3,1,2,6,At Risk
1071,202,4,841.18,3,2,1,6,At Risk
1072,134,4,2251.9,3,2,4,9,Potential Loyalists
1073,559,7,2754.5,1,5,4,10,Loyal Customers
1074,259,3,2293.23,3,2,4,9,Potential Loyalists
1075,1,4,1303.93,4,2,2,8,Potential Loyalists
1076,1,4,1972.35,4,2,3,9,Potential Loyalists
1077,1,3,893.05,4,2,2,8,Potential Loyalists
1078,601,4,736.64,1,2,1,4,At Risk
1079,100,3,2228.87,3,2,4,9,Potential Loyalists
1080,442,3,936.94,1,2,2,5,At Risk
1081,1,4,1856.13,4,2,3,9,Potential Loyalists
1082,374,5,4844.68,2,3,5,10,Loyal Customers
1083,1,3,980.3700000000001,4,2,2,8,Potential Loyalists
1084,192,8,3882.88,3,5,5,13,Champions
1085,1,5,3425.9700000000003,4,3,5,12,Loyal Customers
1086,94,4,3140.71,4,2,5,11,Loyal Customers
1087,417,2,522.01,2,1,1,4,At Risk
1088,388,3,1603.8799999999999,2,2,3,7,Potential Loyalists
1089,1,2,393.40999999999997,4,1,1,6,At Risk
1090,23,9,3133.4500000000003,4,5,5,14,Champions
1091,76,6,3494.44,4,4,5,13,Champions
1092,1,4,3818.1,4,2,5,11,Loyal Customers
1093,405,4,1986.8,2,2,3,7,Potential Loyalists
1094,537,3,2754.77,1,2,4,7,Potential Loyalists
1095,635,2,1130.56,1,1,2,4,At Risk
1096,1,5,3341.8500000000004,4,3,5,12,Loyal Customers
1097,166,3,1091.65,3,2,2,7,Potential Loyalists
1098,1,11,3252.22,4,5,5,14,Champions
1099,344,5,1958.5500000000002,2,3,3,8,Potential Loyalists
