employee_id,age,department,job_role,education,education_field,monthly_income,job_satisfaction,work_life_balance,env_satisfaction,performance_rating,overtime,years_at_company,years_in_role,years_since_promo,num_companies_worked,distance_from_home,training_last_year,stock_option_level,attrition,dept_enc,role_enc,edu_field_enc,attrition_risk_score,risk_tier
1,34,Legal,Sales Executive,4,Other,40800.0,4,3,4,3,1,5,1,0,6,16,2,2,0,3,6,4,0.040533331585556526,Low Risk
2,54,Sales,Engineer,2,Life Sciences,42100.0,1,3,4,4,1,1,1,9,2,22,5,0,0,7,2,1,0.1101735208080772,Low Risk
3,38,R&D,Manager,3,Technical Degree,20000.0,1,3,4,3,0,9,0,5,2,1,1,1,0,6,4,5,0.2199689289496627,Low Risk
4,47,Sales,Analyst,3,Medical,20000.0,3,3,4,3,1,0,0,0,2,4,2,0,0,7,0,3,0.4144361731368635,Medium Risk
5,34,Sales,Research Scientist,4,Other,20000.0,2,3,4,3,0,3,3,0,2,14,2,2,0,7,5,4,0.46856100758076413,Medium Risk
6,35,Marketing,Analyst,4,Other,22400.0,3,4,3,3,0,3,3,0,1,1,1,1,0,4,0,4,0.01200253887509651,Low Risk
7,42,Engineering,Research Scientist,3,Other,20000.0,3,3,1,3,0,6,1,1,2,6,1,0,0,0,5,4,0.23824721253058598,Low Risk
8,43,Engineering,Manager,3,Other,20000.0,4,4,4,3,0,0,0,0,3,10,1,1,0,0,4,4,0.3129144926986877,Medium Risk
9,34,R&D,Sales Executive,2,Medical,20000.0,1,3,2,3,0,6,0,0,2,2,1,1,0,6,6,3,0.27464806352369064,Low Risk
10,22,HR,Research Scientist,5,Medical,20000.0,3,3,4,3,0,0,0,6,1,1,4,1,0,2,5,3,0.2595627134563269,Low Risk
11,34,HR,Sales Executive,4,Medical,20000.0,4,3,4,3,1,1,1,0,4,3,2,1,0,2,6,3,0.27666902745179195,Low Risk
12,42,Engineering,HR Manager,3,Marketing,32600.0,3,4,3,3,1,4,1,8,5,12,1,1,0,0,3,2,0.024743648602475327,Low Risk
13,36,Sales,Analyst,3,Human Resources,23400.0,2,2,1,3,0,16,9,1,6,23,3,0,0,7,0,0,0.012046702375527683,Low Risk
14,40,Sales,Research Scientist,5,Life Sciences,20300.0,3,3,1,3,0,8,8,1,0,6,1,0,0,7,5,1,0.12081873034812984,Low Risk
15,38,Finance,Manager,5,Medical,20000.0,4,3,3,3,1,5,1,0,2,12,5,1,0,1,4,3,0.3859875020984631,Medium Risk
16,23,R&D,Analyst,1,Technical Degree,24300.0,3,4,3,3,1,9,4,4,6,30,4,1,0,6,0,5,0.021550947326328482,Low Risk
17,43,Sales,Analyst,4,Marketing,23300.0,2,3,3,3,1,0,0,4,3,19,1,1,0,7,0,2,0.10977723381472783,Low Risk
