Feature,Importance
monthly_income,0.17665893789997586
distance_from_home,0.16645361361610797
years_at_company,0.1279471827919141
job_satisfaction,0.06767047226745711
work_life_balance,0.0637305597115837
age,0.05775179938168151
years_since_promo,0.048792243018814775
years_in_role,0.03913708409438974
overtime,0.03526286146873388
num_companies_worked,0.0348297739271715
training_last_year,0.03383599984242594
education,0.03118587670081029
dept_enc,0.030162033380062965
role_enc,0.029320494139284756
stock_option_level,0.026146678072482794
env_satisfaction,0.021400019821238358
performance_rating,0.009714369865864594
